Agent setting:  OrderedDict([('actor_critic_dim', 128), ('n_hidden', 1), ('pi_lr', 0.0001), ('qf_vf_lr', 0.0001), ('sample_for_eval', False), ('use_true_q', False), ('entropy_scale', 0.005), ('l_param', 6), ('N_param', 64), ('optim_type', 'wis'), ('q_update_type', 'sac'), ('use_replay', True), ('use_target', False), ('batch_size', 32), ('use_hard_policy', False), ('use_hard_value', False), ('n_action_points', 128)])
Num. Integration points: 187
Start run at: 2020-10-13 01:35:04.347467

=== EVAL :: ep: 0, r: -18.589694227688852, n_steps: 50, elapsed: 00:00:00
Train:: ep: 0, r: -45.99345443412292, n_steps: 50, elapsed: 00:00:01
Train:: ep: 1, r: -70.67329956416573, n_steps: 50, elapsed: 00:00:01
Train:: ep: 2, r: -72.26299395722793, n_steps: 50, elapsed: 00:00:01
Train:: ep: 3, r: -60.19369337603566, n_steps: 50, elapsed: 00:00:01
Train:: ep: 4, r: -54.04802014809284, n_steps: 50, elapsed: 00:00:01
Train:: ep: 5, r: -51.59127752109018, n_steps: 50, elapsed: 00:00:01
Train:: ep: 6, r: -59.6741170006759, n_steps: 50, elapsed: 00:00:01
Train:: ep: 7, r: -59.27996909070568, n_steps: 50, elapsed: 00:00:01
Train:: ep: 8, r: -62.2396903137341, n_steps: 50, elapsed: 00:00:01
Train:: ep: 9, r: -63.08079876414481, n_steps: 50, elapsed: 00:00:01
Train:: ep: 10, r: -66.53974678749536, n_steps: 50, elapsed: 00:00:01
Train:: ep: 11, r: -65.8177547083889, n_steps: 50, elapsed: 00:00:01
Train:: ep: 12, r: -68.72159363519089, n_steps: 50, elapsed: 00:00:01
Train:: ep: 13, r: -70.88721435432402, n_steps: 50, elapsed: 00:00:01
Train:: ep: 14, r: -69.09181378895723, n_steps: 50, elapsed: 00:00:01
Train:: ep: 15, r: -68.04880334567123, n_steps: 50, elapsed: 00:00:01
Train:: ep: 16, r: -65.31461192025813, n_steps: 50, elapsed: 00:00:01
Train:: ep: 17, r: -71.06184850123734, n_steps: 50, elapsed: 00:00:01
Train:: ep: 18, r: -75.49631070187569, n_steps: 50, elapsed: 00:00:01
Train:: ep: 19, r: -77.29551485465885, n_steps: 50, elapsed: 00:00:01
Train:: ep: 20, r: -69.06973299637657, n_steps: 50, elapsed: 00:00:01
Train:: ep: 21, r: -70.55516827098185, n_steps: 50, elapsed: 00:00:01
Train:: ep: 22, r: -78.18296717766121, n_steps: 50, elapsed: 00:00:01
Train:: ep: 23, r: -67.6836607894451, n_steps: 50, elapsed: 00:00:01
Train:: ep: 24, r: -72.40727525137373, n_steps: 50, elapsed: 00:00:01
Train:: ep: 25, r: -72.91629127365434, n_steps: 50, elapsed: 00:00:01
Train:: ep: 26, r: -68.34294983084986, n_steps: 50, elapsed: 00:00:01
Train:: ep: 27, r: -77.0943186160334, n_steps: 50, elapsed: 00:00:01
Train:: ep: 28, r: -69.96422566935625, n_steps: 50, elapsed: 00:00:01
Train:: ep: 29, r: -65.12583431850643, n_steps: 50, elapsed: 00:00:01
Train:: ep: 30, r: -79.86089073724182, n_steps: 50, elapsed: 00:00:01
Train:: ep: 31, r: -75.22357633288982, n_steps: 50, elapsed: 00:00:01
Train:: ep: 32, r: -72.24591171974767, n_steps: 50, elapsed: 00:00:01
Train:: ep: 33, r: -67.86027232881243, n_steps: 50, elapsed: 00:00:01
Train:: ep: 34, r: -67.90597378633865, n_steps: 50, elapsed: 00:00:01
Train:: ep: 35, r: -63.73643159894906, n_steps: 50, elapsed: 00:00:01
Train:: ep: 36, r: -63.715709205639136, n_steps: 50, elapsed: 00:00:01
Train:: ep: 37, r: -73.45678763932997, n_steps: 50, elapsed: 00:00:01
Train:: ep: 38, r: -66.09955128567795, n_steps: 50, elapsed: 00:00:01
Train:: ep: 39, r: -57.33658469798684, n_steps: 50, elapsed: 00:00:01
Train:: ep: 40, r: -61.83660041775321, n_steps: 50, elapsed: 00:00:01
Train:: ep: 41, r: -59.0279548053466, n_steps: 50, elapsed: 00:00:01
Train:: ep: 42, r: -56.463140012391165, n_steps: 50, elapsed: 00:00:01
Train:: ep: 43, r: -57.698990091248795, n_steps: 50, elapsed: 00:00:01
Train:: ep: 44, r: -50.917618951167306, n_steps: 50, elapsed: 00:00:01
Train:: ep: 45, r: -49.167442832054185, n_steps: 50, elapsed: 00:00:01
Train:: ep: 46, r: -44.708120256226074, n_steps: 50, elapsed: 00:00:01
Train:: ep: 47, r: -49.89121686426749, n_steps: 50, elapsed: 00:00:01
Train:: ep: 48, r: -42.602017964176554, n_steps: 50, elapsed: 00:00:01
Train:: ep: 49, r: -54.338260195302205, n_steps: 50, elapsed: 00:00:01
Train:: ep: 50, r: -54.54225614878751, n_steps: 50, elapsed: 00:00:01
Train:: ep: 51, r: -37.16084770634981, n_steps: 50, elapsed: 00:00:01
Train:: ep: 52, r: -57.52626405756998, n_steps: 50, elapsed: 00:00:01
Train:: ep: 53, r: -37.87097878770461, n_steps: 50, elapsed: 00:00:01
Train:: ep: 54, r: -46.26861326568016, n_steps: 50, elapsed: 00:00:01
Train:: ep: 55, r: -57.268630814192, n_steps: 50, elapsed: 00:00:01
Train:: ep: 56, r: -45.23154037597439, n_steps: 50, elapsed: 00:00:01
Train:: ep: 57, r: -45.59133661629517, n_steps: 50, elapsed: 00:00:01
Train:: ep: 58, r: -52.009741329845504, n_steps: 50, elapsed: 00:00:01
Train:: ep: 59, r: -58.949836426320246, n_steps: 50, elapsed: 00:00:01
Train:: ep: 60, r: -47.23594510138907, n_steps: 50, elapsed: 00:00:01
Train:: ep: 61, r: -47.51046086169459, n_steps: 50, elapsed: 00:00:01
Train:: ep: 62, r: -55.17118617794134, n_steps: 50, elapsed: 00:00:01
Train:: ep: 63, r: -46.748803934221044, n_steps: 50, elapsed: 00:00:01
Train:: ep: 64, r: -49.487670571407484, n_steps: 50, elapsed: 00:00:01
Train:: ep: 65, r: -49.69020509908844, n_steps: 50, elapsed: 00:00:01
Train:: ep: 66, r: -59.009084257748626, n_steps: 50, elapsed: 00:00:01
